,Player,Seasons,Games,Minutes,DWS,Seasons_>50,Seasons_>75,Seasons_DPOY,Seasons_>50_DPOY,Seasons_>75_DPOY,DPOY_awards,DPOY_shares
/players/a/allento01.html,Tony Allen,14,820,18055,29.5,12,8,14,12,8,0,0.3690860548894376
/players/h/hayesch01.html,Chuck Hayes,11,644,11815,17.2,8,7,11,8,7,0,0.021666666666666667
/players/i/ibakase01.html,Serge Ibaka,12,849,24064,35.9,12,11,12,12,11,0,0.8340033057851239
/players/n/noahjo01.html,Joakim Noah,13,672,18646,34.40000000000001,10,7,13,10,7,1,1.0993117432250625
/players/b/boganke01.html,Keith Bogans,11,671,14527,13.099999999999998,9,8,11,9,8,0,0.008333333333333333
/players/m/mcgeeja01.html,JaVale McGee,13,747,12810,19.000000000000004,10,8,13,10,8,0,0.008333333333333333
/players/b/bynuman01.html,Andrew Bynum,8,418,10690,16.5,6,3,8,6,3,0,0.005
/players/g/gasolma01.html,Marc Gasol,13,891,28719,42.4,13,9,13,13,9,1,0.37593039912870785
/players/b/bradlav01.html,Avery Bradley,11,598,16745,16.099999999999998,9,4,11,9,4,0,0.04963763509218055
/players/c/conlemi01.html,Mike Conley,14,886,28561,29.1,13,9,14,13,9,0,0.004958677685950413
/players/s/shumpim01.html,Iman Shumpert,10,461,11470,11.4,7,5,10,7,5,0,0.003305785123966942
/players/m/monrogr01.html,Greg Monroe,9,632,17475,20.2,9,7,9,9,7,0,0.001652892561983471
/players/w/westbru01.html,Russell Westbrook,13,943,32748,44.1,13,12,13,13,12,0,0.006611570247933884
/players/s/sandela01.html,Larry Sanders,6,238,4635,8.5,3,2,6,3,2,0,0.1487603305785124
/players/g/georgpa01.html,Paul George,11,706,23664,39.29999999999999,10,8,11,10,8,0,0.5174624007855331
/players/h/hibbero01.html,Roy Hibbert,9,662,16389,24.9,9,8,9,9,8,0,0.32510413223140494
/players/b/butleji01.html,Jimmy Butler,10,633,20933,27.0,10,7,10,10,7,0,0.028828908000574003
/players/f/farieke01.html,Kenneth Faried,8,478,11728,13.3,6,4,8,6,4,0,0.0049586776859504135
/players/j/jordade01.html,DeAndre Jordan,13,932,25572,41.800000000000004,13,12,13,13,12,0,0.6751742397137745
/players/d/davisan02.html,Anthony Davis,9,564,19401,32.5,9,6,9,9,6,0,0.8872928437745385
/players/l/leonaka01.html,Kawhi Leonard,10,576,18025,33.8,9,6,10,9,6,2,1.7582175313059032
/players/t/tuckepj01.html,P.J. Tucker,10,706,20548,20.199999999999996,9,8,10,9,8,0,0.0096
/players/b/beverpa01.html,Patrick Beverley,9,468,12935,13.200000000000001,8,3,9,8,3,0,0.022750387596899225
/players/g/greendr01.html,Draymond Green,9,639,18183,32.4,9,8,9,9,8,1,2.2107691363054016
/players/g/goberru01.html,Rudy Gobert,8,545,16181,33.699999999999996,8,5,8,8,5,3,3.6559350679253972
/players/k/kiddgmi01.html,Michael Kidd-Gilchrist,8,446,10978,11.5,6,5,8,6,5,0,0.013953488372093023
